objectid	izena_nombre	longitude	latitude	izena	nombre
6387	Bolatokia / Juego de Bolos	-2,89540247399998	42,8520435290001	Bolatokia	Juego de Bolos
6388	Bolatokia / Juego de Bolos	-2,98681076699995	42,887031096	Bolatokia	Juego de Bolos
6389	Bolatokia / Juego de Bolos	-2,70366801399996	42,8326165400001	Bolatokia	Juego de Bolos
6390	Bolatokia / Juego de Bolos	-2,59379664699998	42,6992691	Bolatokia	Juego de Bolos
6391	Bolatokia / Juego de Bolos	-2,47801598399997	42,65845505	Bolatokia	Juego de Bolos
6392	Bolatokia / Juego de Bolos	-2,91669209099996	42,7842505090001	Bolatokia	Juego de Bolos
6393	Bolatokia / Juego de Bolos	-2,98193304599994	42,9835660970001	Bolatokia	Juego de Bolos
6394	Bolatokia / Juego de Bolos	-2,97981723699996	42,8898217090001	Bolatokia	Juego de Bolos
6395	Bolatokia / Juego de Bolos	-2,58809323899993	42,7622872090001	Bolatokia	Juego de Bolos
6396	Bolatokia / Juego de Bolos	-2,96376576699993	42,8827936440001	Bolatokia	Juego de Bolos
6397	Bolatokia / Juego de Bolos	-2,52483871499993	42,6367751760001	Bolatokia	Juego de Bolos
6398	Bolatokia / Juego de Bolos	-2,89181001499998	42,869690597	Bolatokia	Juego de Bolos
6399	Bolatokia / Juego de Bolos	-2,39565924799996	42,693532084	Bolatokia	Juego de Bolos
6400	Juego de Bolos	-2,46963921299994	42,567279204		Juego de Bolos
6401	Bolatokia / Juego de Bolos	-2,56423733999998	42,7028527310001	Bolatokia	Juego de Bolos
6402	Bolatokia / Juego de Bolos	-2,59610690699998	42,8267943970001	Bolatokia	Juego de Bolos
6403	Bolatokia / Juego de Bolos	-2,49871407799998	42,6274780860001	Bolatokia	Juego de Bolos
6404	Bolatokia / Juego de Bolos	-2,54375464799995	42,7270878730001	Bolatokia	Juego de Bolos
6405	Bolatokia / Juego de Bolos	-2,91596291199994	42,871331825	Bolatokia	Juego de Bolos
6406	Bolatokia / Juego de Bolos	-2,46886556899995	42,6354486700001	Bolatokia	Juego de Bolos
6407	Bolatokia / Juego de Bolos	-2,94873553899993	42,87414283	Bolatokia	Juego de Bolos
6408	Bolatokia / Juego de Bolos	-2,47509398099993	42,753359921	Bolatokia	Juego de Bolos
6409	Bolatokia / Juego de Bolos	-2,40012843799997	42,7492095070001	Bolatokia	Juego de Bolos
6410	Bolatokia / Juego de Bolos	-2,43420563499996	42,7359647910001	Bolatokia	Juego de Bolos
6411	Bolatokia / Juego de Bolos	-2,88900491399994	42,8841864180001	Bolatokia	Juego de Bolos
6412	Bolatokia / Juego de Bolos	-2,78299181599994	42,65016294	Bolatokia	Juego de Bolos
6413	Bolatokia / Juego de Bolos	-2,87612826299994	42,7709758200001	Bolatokia	Juego de Bolos
6414	Bolatokia / Juego de Bolos	-2,44271152499994	42,749244526	Bolatokia	Juego de Bolos
6415	Bolatokia / Juego de Bolos	-2,89779896599993	42,801525606	Bolatokia	Juego de Bolos
6416	Bolatokia / Juego de Bolos	-2,43393053599993	42,6990408790001	Bolatokia	Juego de Bolos
6417	Bolatokia / Juego de Bolos	-3,15316965699998	42,9041294300001	Bolatokia	Juego de Bolos
6418	Bolatokia / Juego de Bolos	-3,08702811699993	42,8826762480001	Bolatokia	Juego de Bolos
6419	Juego de Bolos	-2,66496636599993	42,5488345040001		Juego de Bolos
6420	Bolatokia / Juego de Bolos	-2,82241657399993	42,6560845000001	Bolatokia	Juego de Bolos
6421	Bolatokia / Juego de Bolos	-2,43772640199995	42,7546234280001	Bolatokia	Juego de Bolos
6422	Bolatoki / Juego de Bolos	-2,63434412799995	42,5658518510001	Bolatoki	Juego de Bolos
6423	Bolatokia / Juego de Bolos	-3,20420618899993	42,9054906100001	Bolatokia	Juego de Bolos
6424	Bolatokia / Juego de Bolos	-2,49869635499994	42,7784107140001	Bolatokia	Juego de Bolos
6425	Bolatokia / Juego de Bolos	-2,47980115099995	42,731137893	Bolatokia	Juego de Bolos
6426	Bolatokia / Juego de Bolos	-2,61745853099995	42,9155697150001	Bolatokia	Juego de Bolos
6427	Bolatokia / Juego de Bolos	-3,07132021699994	42,7894817500001	Bolatokia	Juego de Bolos
6428	Bolatokia / Juego de Bolos	-2,81097376399993	42,8164542000001	Bolatokia	Juego de Bolos
6429	Bolatokia / Juego de Bolos	-2,87254943199997	42,721982032	Bolatokia	Juego de Bolos
6430	Bolatokia / Juego de Bolos	-2,99705500199997	42,7533020050001	Bolatokia	Juego de Bolos
6431	Bolatokia / Juego de Bolos	-2,93204991799996	42,8047929970001	Bolatokia	Juego de Bolos
6432	Bolatokia / Juego de Bolos	-2,51612879099997	42,5912600730001	Bolatokia	Juego de Bolos
6433	Bolatokia / Juego de Bolos	-2,90890898599997	42,8892469350001	Bolatokia	Juego de Bolos
6434	Bolatokia / Juego de Bolos	-2,62888716599997	42,915967542	Bolatokia	Juego de Bolos
6435	Bolatoki / Juego de Bolos	-2,72667144799993	42,8879663240001	Bolatoki	Juego de Bolos
6436	Bolatokia / Juego de Bolos	-3,00878418899993	42,826155575	Bolatokia	Juego de Bolos
6437	Bolatokia / Juego de Bolos	-3,07054167199993	42,8360400760001	Bolatokia	Juego de Bolos
6438	Bolatokia / Juego de Bolos	-2,96926353099997	42,7849070660001	Bolatokia	Juego de Bolos
