pageid	qid
747352	Q7724
1049329	Q7725
646993	Q7726
646928	Q7727
653373	Q7728
591318	Q7729
46968	Q7730
647526	Q7731
855991	Q7732
426253	Q7733
46966	Q7734
46967	Q7735
49972	Q7736
45931	Q7737
88263	Q7738
642644	Q7739
205350	Q7740
645618	Q7741
645606	Q7742
227021	Q7743
1014080	Q7744
1016534	Q7745
573495	Q7746
335214	Q7747
653796	Q7748
573491	Q7749
1012969	Q7750
899882	Q7751
654108	Q7752
60058	Q7753
1061392	Q7754
1062966	Q7755
661015	Q7756
1063607	Q7757
42533	Q7758
94388	Q7759
1062738	Q7760
1013762	Q7761
1061535	Q7762
1252151	Q7763
642866	Q7764
99501	Q7765
1061456	Q7766
653213	Q7767
655706	Q7768
855948	Q7769
161766	Q7770
974564	Q7771
57101	Q7772
944044	Q7773
1020562	Q7774
94423	Q7775
1121357	Q7776
102908	Q7777
899992	Q7778
647946	Q7779
97975	Q7780
121489	Q7781
205348	Q7782
661622	Q7783
1238461	Q7784
847143	Q7785
1013139	Q7786
1252153	Q7787
59894	Q7788
540784	Q7789
894174	Q7790
44933	Q7791
1192922	Q7792
1250605	Q7793
1090442	Q7794
1027989	Q7795
1260588	Q7796
82272	Q7797
34512	Q7798
1121697	Q7799
1121693	Q7800
1051502	Q7801
43765	Q7802
579321	Q7803
994106	Q7804
162042	Q7805
205335	Q7806
595363	Q7807
1212712	Q7808
1017562	Q7809
1255348	Q7810
1260413	Q7811
521126	Q7812
155018	Q7813
383425	Q7814
76421	Q7815
1034955	Q7816
675908	Q7817
221584	Q7818
621512	Q7819
898116	Q7820
40397	Q7821
618690	Q7822
125739	Q7823
669326	Q7824
576695	Q7825
1209876	Q7826
14284	Q7827
1076607	Q7828
593622	Q7829
541924	Q7830
1276583	Q7831
160651	Q7832
546964	Q7833
655382	Q7834
239600	Q7835
140290	Q7836
590145	Q7837
231256	Q7838
654034	Q7839
1064098	Q7840
577023	Q7841
231249	Q7842
1064106	Q7843
742165	Q7844
302117	Q7845
573293	Q7846
231251	Q7847
231242	Q7848
232014	Q7849
644420	Q7850
479829	Q7851
669002	Q7852
34497	Q7853
42238	Q7854
367904	Q7855
908030	Q7856
616667	Q7857
131982	Q7858
149847	Q7859
23211	Q7860
68290	Q7861
1250059	Q7862
745092	Q7863
745066	Q7864
745150	Q7865
226916	Q7866
71813	Q7867
71809	Q7868
1221793	Q7869
853418	Q7870
1240155	Q7871
148603	Q7872
748348	Q7873
745179	Q7874
42650	Q7875
72757	Q7876
1172977	Q7877
62675	Q7878
747048	Q7879
378325	Q7880
114648	Q7881
745237	Q7882
146966	Q7883
745238	Q7884
336050	Q7885
745236	Q7886
884612	Q7887
1255166	Q7888
740381	Q7889
667089	Q7890
568107	Q7891
844356	Q7892
204740	Q7893
595691	Q7894
845094	Q7895
972441	Q7896
909010	Q7897
968340	Q7898
1064287	Q7899
728190	Q7900
1007726	Q7901
747051	Q7902
593624	Q7903
591326	Q7904
121840	Q7905
103207	Q7906
655914	Q7907
